week,mentions_ransomware,mentions_ddos,mentions_data_breach,mentions_vulnerability,mentions_hacking,mentions_cyber_attack
2025-08-04,5,0,4,0,6,4
2025-08-11,34,0,38,2,18,21
2025-08-18,10,1,25,1,19,21
2025-08-25,20,1,29,3,28,24
2025-09-01,13,3,23,3,25,43
2025-09-08,24,1,29,2,28,52
2025-09-15,16,0,33,2,30,117
2025-09-22,32,5,46,1,45,137
2025-09-29,27,0,33,3,35,56
2025-10-06,28,1,32,8,29,54
2025-10-13,16,1,69,2,38,51
2025-10-20,13,1,21,3,11,32
2025-10-27,18,2,60,2,28,34
2025-11-03,31,1,55,3,31,57
2025-11-10,16,0,44,3,40,37
2025-11-17,30,9,59,5,33,48
2025-11-24,11,2,57,0,37,58
2025-12-01,14,3,88,6,39,34
2025-12-08,21,2,77,3,34,31
2025-12-15,13,16,80,6,26,53
2025-12-22,17,4,57,3,19,25
2025-12-29,12,0,69,0,28,20
2026-01-05,11,1,91,8,37,48
2026-01-12,22,0,55,5,21,19
2026-01-19,23,1,58,3,37,30
2026-01-26,14,4,42,2,28,20
2026-02-02,12,1,49,2,26,25
2026-02-09,5,0,21,2,9,10
